VolcanoNumber,VolcanoName
342110,Pacaya
343020,Santa Ana
343030,Izalco
343100,San Miguel
344020,San Cristobal
344040,Telica
344070,"Negro, Cerro"
344090,Momotombo
344100,Masaya
344120,Concepcion
345020,Rincon de la Vieja
345033,Arenal
345040,Poas
345060,Irazu
345070,Turrialba
351020,"Ruiz, Nevado del"
351050,"Huila, Nevado del"
351060,Purace
351080,Galeras
352010,Reventador
352020,Guagua Pichincha
352050,Cotopaxi
352080,Tungurahua
352090,Sangay
353010,Fernandina
353020,Wolf
353040,Alcedo
353050,"Negra, Sierra"
353060,"Azul, Cerro"
353080,Marchena
354006,Sabancaya
354010,"Misti, El"
354020,Ubinas
355020,Guallatiri
355040,Irruputuncu
355070,San Pedro-San Pablo
355100,Lascar
357010,Tupungatito
357020,San Jose
357040,Planchon-Peteroa
357060,"Azul, Cerro"
357070,"Chillan, Nevados de"
357091,Callaqui
357090,Copahue
357100,Lonquimay
357110,Llaima
357120,Villarrica
357140,Carran-Los Venados
357150,Puyehue-Cordon Caulle
358020,Calbuco
358041,Chaiten
358057,"Hudson, Cerro"
358059,Arenales
358060,Lautaro
360050,Soufriere Hills
360060,Soufriere Guadeloupe
360101,"Watt, Morne"
360150,Soufriere St. Vincent
360160,Kick 'em Jenny
372010,Vestmannaeyjar
372020,Eyjafjallajokull
372070,Hekla
373010,Grimsvotn
373030,Bardarbunga
373050,Kverkfjoll
373060,Askja
373080,Krafla
376010,Jan Mayen
377020,East Gakkel Ridge at 85°E
382050,Terceira
383010,La Palma
383020,Hierro
384010,Fogo
386011,Nightingale Island
386010,Tristan da Cunha
390020,Erebus
390030,Deception Island
390070,Southern Thule
390081,Montagu Island
390080,Bristol Island
390090,Saunders
390130,Zavodovski
390140,Protector Seamounts
284193,South Sarigan Seamount
385052,Walvis Ridge at 33°S
242005,Havre Seamount
284305,Mariana Back-Arc Segment at 15.5°N
